Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C5",0805,2,10u,
C11,0805,1,1u,
"C2, C3, C7, C8",0603,4,100n,
C6,1206,1,10u/50V,
C9,0805,1,DNP,
"D1, D14, D15, D16, D17, D22, D23, D24, D25, D30, D31, D32, D33, D6, D7, D8, D9",D_SMA,17,M7L,
"D10, D11, D12, D13, D18, D19, D20, D21, D26, D27, D28, D29, D34, D35, D36, D37",0805,16,LED,
D2,D_SMB,1,SMBJ26A,
D3,D_SMA,1,SK18,
"D4, D5",D_SOD-523,2,ESD5Z3.3T1G,
F1,1210,1,0ZCH0010FF2E,
J1,"PhoenixContact_MSTBVA_2,5_4-G-5,08_1x04_P5.08mm_Vertical",1,Screw_Terminal_01x04,
J2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Pin,
"J3, J4, J5, J6","PhoenixContact_MSTBA_2,5_8-G-5,08_1x08_P5.08mm_Horizontal",4,Screw_Terminal_01x08,
"K1, K10, K11, K12, K13, K14, K15, K16, K2, K3, K4, K5, K6, K7, K8, K9",Relay_SJ-10A,16,SJ-10A,
L1,L_FerroCore_HPI1040_10.8x10.0mm,1,33u,
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,16,BSS138,
"R1, R3",0603,2,300k,
"R10, R12, R14, R16, R22, R24, R26, R28, R34, R36, R38, R40, R46, R48, R50, R52",0603,16,100k,
"R11, R13, R15, R21, R23, R25, R27, R33, R35, R37, R39, R45, R47, R49, R5, R51, R6, R7, R8, R9",0603,20,10k,
"R17, R18, R19, R20, R29, R30, R31, R32, R41, R42, R43, R44, R53, R54, R55, R56",0603,16,200R,
R2,0603,1,20k,
R4,0603,1,56k,
SW1,SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm,1,SW_DIP_x03,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,SOT-23-6,1,AOZ1282CI,
U3,SOIC-28W_7.5x17.9mm_P1.27mm,1,MCP23017_SO,
